"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"373","64700099999","295.04","12.133689","15.034019","1990-01-01","2019-12-31",37.78,41,43,44,44,41.22,38,34.5,37,39.5,39.5,37.72
"377","64950099999","694.33","3.722556","11.553269","1990-01-01","2019-12-31",32,33,33,32,31,30,28,29,29,30,31,31
"383","65472099999","62.48","5.605186","-0.166786","1990-01-01","2019-12-31",34,34,34.11,34,33.5,31.5,30,29.78,31,32.11,33,33.39
"385","65503099999","316.07","12.353194","-1.512417","1990-01-01","2019-12-31",36.61,39.61,41.5,42.11,41.11,38.5,35.39,33.78,35.39,38,38.11,37
"389","67002099999","28.34","-11.533661","43.27185","1990-01-01","2019-12-31",32.78,32.72,33.11,33.22,32.61,31.78,31,31,31.5,32.78,34,33.61
"391","67083099999","1279.55","-18.796936","47.478869","1990-01-01","2019-12-31",30,29.61,29,29,27.11,25,24,25.72,28.39,31,31,30.72
"393","67341099999","44.19","-25.920836","32.572606","1990-01-01","2019-12-31",34.61,34,34.22,33,31.61,30.22,30,32,34.72,34.61,35,35.39
"397","67665099999","1151.83","-15.3333333","28.45","1990-01-01","2019-12-31",30.61,30.39,30.89,30,29.28,27.72,28,31,34,35.89,35.39,32
"399","67775099999","1489.56","-17.930219","31.094329","1990-01-01","2019-12-31",29.72,29.72,29.22,28.11,26.78,25,24.78,28,31,32.5,32.11,30.11
"401","68112099999","1719.07","-22.479894","17.47095","1990-01-01","2019-12-31",34.72,33.89,32.72,29.78,27.5,25.22,25.11,28.39,32.11,34.39,34.61,35
"405","68816099999","46.02","-33.964806","18.601667","1990-01-01","2019-12-31",32.28,33.11,31.11,30.39,27.22,23.61,24,24.28,25.78,29,29.78,31.22
